Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Luke List,0,0,8000,NA,0.012345679
Lanto Griffin,0,0,9000,NA,0.010989011
Tom Hoge,0,0,9000,NA,0.010989011
Christiaan Bezuidenhout,0,0,10000,NA,0.00990099
Corey Conners,0,0,10000,3,0.00990099
Robert MacIntyre,0,0,13000,NA,0.007633588
Sahith Theegala,0,0,13000,NA,0.007633588
Harold Varner III,0,0,13000,NA,0.007633588
Adam Hadwin,0,0,13000,NA,0.007633588
Troy Merritt,0,0,13000,NA,0.007633588
Martin Laird,0,0,15000,NA,0.006622517
Jhonattan Vegas,0,0,15000,NA,0.006622517
Matt Jones,0,0,15000,NA,0.006622517
Patrick Rodgers,0,0,18000,NA,0.005524862
Aaron Rai,0,0,18000,NA,0.005524862
Taylor Pendrith,0,0,18000,NA,0.005524862
Andrew Putnam,0,0,18000,NA,0.005524862
Joel Dahmen,0,0,18000,NA,0.005524862
Russell Knox,0,0,18000,NA,0.005524862
Min Woo Lee,0,0,18000,NA,0.005524862
Patton Kizzire,0,0,18000,NA,0.005524862
Matt Kuchar,0,0,18000,NA,0.005524862
James Hahn,0,0,20000,NA,0.004975124
Doug Ghim,0,0,20000,NA,0.004975124
Pat Perez,0,0,20000,NA,0.004975124
Beau Hossler,0,0,20000,NA,0.004975124
Cameron Young,0,0,20000,NA,0.004975124
Taylor Moore,0,0,20000,NA,0.004975124
Mito Pereira,0,0,20000,NA,0.004975124
Cheng Tsung Pan,0,0,25000,NA,0.003984064
Matthew NeSmith,0,0,25000,NA,0.003984064
J.J. Spaun,0,0,25000,NA,0.003984064
Chez Reavie,0,0,30000,NA,0.003322259
Scott Stallings,0,0,30000,NA,0.003322259
Matt Wallace,0,0,30000,NA,0.003322259
Charl Schwartzel,0,0,30000,NA,0.003322259
Brendan Steele,0,0,30000,NA,0.003322259
Adam Long,0,0,30000,NA,0.003322259
Vincent Whaley,0,0,30000,NA,0.003322259
Roger Sloan,0,0,30000,NA,0.003322259
Scott Piercy,0,0,30000,NA,0.003322259
J.T. Poston,0,0,30000,NA,0.003322259
Dylan Frittelli,0,0,30000,NA,0.003322259
Doc Redman,0,0,35000,NA,0.002849003
Lee Hodges,0,0,40000,NA,0.002493766
Andrew Landry,0,0,40000,NA,0.002493766
Sepp Straka,0,0,40000,NA,0.002493766
David Lipsky,0,0,40000,NA,0.002493766
Harry Higgs,0,0,40000,NA,0.002493766
Robert Streb,0,0,50000,NA,0.001996008
Danny Lee,0,0,50000,NA,0.001996008
Anirban Lahiri,0,0,50000,NA,0.001996008
Kyle Stanley,0,0,50000,NA,0.001996008
Sam Ryder,0,0,50000,NA,0.001996008
Kramer Hickok,0,0,50000,NA,0.001996008
Hank Lebioda,0,0,50000,NA,0.001996008
Peter Malnati,0,0,50000,NA,0.001996008
Brian Stuard,0,0,50000,NA,0.001996008
Adam Schenk,0,0,50000,NA,0.001996008
Henrik Norlander,0,0,50000,NA,0.001996008
Kevin Tway,0,0,50000,NA,0.001996008
Brandon Hagy,0,0,80000,NA,0.001248439
Nick Watney,0,0,80000,NA,0.001248439
Lee Jaekyeong,0,0,80000,NA,0.001248439
Aaron Beverly,0,0,80000,NA,0.001248439
Chesson Hadley,0,0,80000,NA,0.001248439
