Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Kyle Stanley,0,0,30000,NA,0.003322259
Jimmy Walker,0,0,40000,NA,0.002493766
Sung Kang,0,0,40000,NA,0.002493766
Sam Ryder,0,0,40000,NA,0.002493766
Ryan Moore,0,0,40000,NA,0.002493766
Rory Sabbatini,0,0,40000,NA,0.002493766
Chesson Hadley,0,0,40000,NA,0.002493766
Brandon Hagy,0,0,40000,NA,0.002493766
Anirban Lahiri,0,0,40000,NA,0.002493766
Kramer Hickok,0,0,40000,NA,0.002493766
Kevin Tway,0,0,40000,NA,0.002493766
Tyler Duncan,0,0,50000,NA,0.001996008
Tyler McCumber,0,0,50000,NA,0.001996008
Seung Yul Noh,0,0,50000,NA,0.001996008
Graeme McDowell,0,0,50000,NA,0.001996008
Brice Garnett,0,0,50000,NA,0.001996008
Nick Watney,0,0,50000,NA,0.001996008
Brian Gay,0,0,50000,NA,0.001996008
Bill Haas,0,0,50000,NA,0.001996008
Andrew Landry,0,0,50000,NA,0.001996008
Martin Trainer,0,0,50000,NA,0.001996008
Luke Donald,0,0,50000,NA,0.001996008
Kevin Chappell,0,0,50000,NA,0.001996008
Kelly Kraft,0,0,50000,NA,0.001996008
William McGirt,0,0,50000,NA,0.001996008
Wesley Bryan,0,0,50000,NA,0.001996008
Craig Hocknull,0,0,100000,NA,9.99E-04
