Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Ian Poulter,0,0,13000,NA,0.007633588
Cameron Young,0,0,13000,NA,0.007633588
Tom Hoge,0,0,15000,NA,0.006622517
Jhonattan Vegas,0,0,15000,NA,0.006622517
Lee Westwood,0,0,15000,NA,0.006622517
Lanto Griffin,0,0,15000,NA,0.006622517
Keith Mitchell,0,0,15000,NA,0.006622517
Thomas Pieters,0,0,18000,NA,0.005524862
Harold Varner III,0,0,18000,NA,0.005524862
Russell Knox,0,0,18000,NA,0.005524862
Luke List,0,0,18000,NA,0.005524862
Kevin Na,0,0,18000,3,0.005524862
Francesco Molinari,0,0,20000,NA,0.004975124
Denny McCarthy,0,0,20000,NA,0.004975124
Pat Perez,0,0,20000,NA,0.004975124
C.T. Pan,0,0,20000,NA,0.004975124
Matt Kuchar,0,0,20000,NA,0.004975124
Brendon Todd,0,0,20000,NA,0.004975124
Kevin Kisner,0,0,20000,4,0.004975124
Taylor Pendrith,0,0,25000,NA,0.003984064
Joel Dahmen,0,0,25000,NA,0.003984064
Sepp Straka,0,0,25000,NA,0.003984064
J.J. Spaun,0,0,25000,NA,0.003984064
Sahith Theegala,0,0,25000,NA,0.003984064
Dylan Frittelli,0,0,25000,NA,0.003984064
Patton Kizzire,0,0,25000,NA,0.003984064
Patrick Reed,0,0,25000,2,0.003984064
Charley Hoffman,0,0,25000,4,0.003984064
Martin Laird,0,0,25000,NA,0.003984064
Brendan Steele,0,0,25000,NA,0.003984064
Beau Hossler,0,0,25000,NA,0.003984064
Andrew Putnam,0,0,25000,NA,0.003984064
Adam Hadwin,0,0,25000,NA,0.003984064
Zach Johnson,0,0,25000,NA,0.003984064
Troy Merritt,0,0,25000,NA,0.003984064
Sam Ryder,0,0,30000,NA,0.003322259
Carlos Ortiz,0,0,30000,5,0.003322259
Lucas Glover,0,0,30000,NA,0.003322259
J.T. Poston,0,0,35000,NA,0.002849003
Henrik Stenson,0,0,35000,NA,0.002849003
Ryan Brehm,0,0,35000,NA,0.002849003
Doug Ghim,0,0,35000,NA,0.002849003
Danny Lee,0,0,35000,NA,0.002849003
Chez Reavie,0,0,35000,NA,0.002849003
Matthew NeSmith,0,0,35000,NA,0.002849003
Matt Jones,0,0,35000,NA,0.002849003
Brian Stuard,0,0,35000,NA,0.002849003
Lee Hodges,0,0,35000,NA,0.002849003
Kevin Streelman,0,0,35000,NA,0.002849003
Wyndham Clark,0,0,35000,NA,0.002849003
Stewart Cink,0,0,40000,NA,0.002493766
Stephan Jaeger,0,0,40000,NA,0.002493766
Scott Piercy,0,0,40000,NA,0.002493766
Harry Higgs,0,0,40000,NA,0.002493766
Doc Redman,0,0,40000,NA,0.002493766
Peter Malnati,0,0,40000,NA,0.002493766
Branden Grace,0,0,40000,6,0.002493766
Joseph Bramlett,0,0,50000,NA,0.001996008
James Hahn,0,0,50000,NA,0.001996008
Hudson Swafford,0,0,50000,NA,0.001996008
Scott Stallings,0,0,50000,NA,0.001996008
Henrik Norlander,0,0,50000,NA,0.001996008
Hayden Buckley,0,0,50000,NA,0.001996008
Hank Lebioda,0,0,50000,NA,0.001996008
Garrick Higgo,0,0,50000,NA,0.001996008
Roger Sloan,0,0,50000,NA,0.001996008
Robert Streb,0,0,50000,NA,0.001996008
Nick Watney,0,0,50000,NA,0.001996008
Charl Schwartzel,0,0,50000,NA,0.001996008
Matt Wallace,0,0,50000,NA,0.001996008
Brice Garnett,0,0,50000,NA,0.001996008
Brandt Snedeker,0,0,50000,NA,0.001996008
Anirban Lahiri,0,0,50000,NA,0.001996008
Adam Schenk,0,0,50000,NA,0.001996008
Kyle Stanley,0,0,50000,NA,0.001996008
Kramer Hickok,0,0,50000,NA,0.001996008
Kevin Tway,0,0,50000,NA,0.001996008
Jimmy Walker,0,0,80000,NA,0.001248439
Richy Werenski,0,0,80000,NA,0.001248439
Chesson Hadley,0,0,80000,NA,0.001248439
Brian Gay,0,0,80000,NA,0.001248439
Brandon Hagy,0,0,80000,NA,0.001248439
Tyler McCumber,0,0,80000,NA,0.001248439
