Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Lucas Glover,0,0,8000,NA,0.012345679
Greyson Sigg,0,0,8000,NA,0.012345679
Keith Mitchell,0,0,10000,NA,0.00990099
Patrick Rodgers,0,0,10000,NA,0.00990099
Austin Smotherman,0,0,11000,NA,0.009009009
Taylor Pendrith,0,0,13000,NA,0.007633588
J.J. Spaun,0,0,13000,NA,0.007633588
Brendon Todd,0,0,13000,NA,0.007633588
Alex Smalley,0,0,13000,NA,0.007633588
Stewart Cink,0,0,13000,NA,0.007633588
Vincent Whaley,0,0,13000,NA,0.007633588
Scott Piercy,0,0,13000,NA,0.007633588
Hayden Buckley,0,0,15000,NA,0.006622517
Austin Eckroat,0,0,15000,NA,0.006622517
Wyndham Clark,0,0,15000,NA,0.006622517
Chad Ramey,0,0,15000,NA,0.006622517
Nick Hardy,0,0,15000,NA,0.006622517
Davis Riley,0,0,15000,NA,0.006622517
Stephan Jaeger,0,0,15000,NA,0.006622517
Matthias Schwab,0,0,15000,NA,0.006622517
Mark Hubbard,0,0,15000,NA,0.006622517
Joseph Bramlett,0,0,18000,NA,0.005524862
Chan Kim,0,0,20000,NA,0.004975124
Kyle Stanley,0,0,20000,NA,0.004975124
Brian Stuard,0,0,20000,NA,0.004975124
Ryan Armour,0,0,20000,NA,0.004975124
Doc Redman,0,0,20000,NA,0.004975124
John Huh,0,0,20000,NA,0.004975124
Peter Uihlein,0,0,20000,NA,0.004975124
David Lipsky,0,0,20000,NA,0.004975124
Kiradech Aphibarnrat,0,0,20000,NA,0.004975124
Brian Gay,0,0,20000,NA,0.004975124
Vaughn Taylor,0,0,20000,NA,0.004975124
Adam Svensson,0,0,20000,NA,0.004975124
Bo Hoag,0,0,20000,NA,0.004975124
Satoshi Kodaira,0,0,20000,NA,0.004975124
Dylan Frittelli,0,0,20000,NA,0.004975124
Ryan Moore,0,0,20000,NA,0.004975124
Kevin Chappell,0,0,20000,NA,0.004975124
Beau Hossler,0,0,25000,NA,0.003984064
Andrew Novak,0,0,25000,NA,0.003984064
Ben Kohles,0,0,25000,NA,0.003984064
Sean O Hair,0,0,25000,NA,0.003984064
Dylan Wu,0,0,25000,NA,0.003984064
Cameron Percy,0,0,25000,NA,0.003984064
Jimmy Walker,0,0,25000,NA,0.003984064
Chesson Hadley,0,0,25000,NA,0.003984064
Kevin Tway,0,0,25000,NA,0.003984064
Bronson Burgoon,0,0,25000,NA,0.003984064
James Hahn,0,0,25000,NA,0.003984064
Peter Malnati,0,0,30000,NA,0.003322259
Trey Mullinax,0,0,30000,NA,0.003322259
Paul Barjon,0,0,30000,NA,0.003322259
Tyler Duncan,0,0,30000,NA,0.003322259
Nate Lashley,0,0,30000,NA,0.003322259
Camilo Villegas,0,0,30000,NA,0.003322259
Tyler McCumber,0,0,30000,NA,0.003322259
Brandon Hagy,0,0,30000,NA,0.003322259
Chase Seiffert,0,0,30000,NA,0.003322259
Curtis Thompson,0,0,30000,NA,0.003322259
Bill Haas,0,0,40000,NA,0.002493766
John Murphy,0,0,40000,NA,0.002493766
Brice Garnett,0,0,40000,NA,0.002493766
Dawie Van Der Walt,0,0,40000,NA,0.002493766
Chris Stroud,0,0,40000,NA,0.002493766
Jonathan Byrd,0,0,40000,NA,0.002493766
Sang Moon Bae,0,0,40000,NA,0.002493766
David Hearn,0,0,40000,NA,0.002493766
Jim Knous,0,0,40000,NA,0.002493766
David Skinns,0,0,40000,NA,0.002493766
Kelly Kraft,0,0,40000,NA,0.002493766
Ryuji Imada,0,0,40000,NA,0.002493766
Bo Van Pelt,0,0,40000,NA,0.002493766
Luke Donald,0,0,40000,NA,0.002493766
Justin Lower,0,0,40000,NA,0.002493766
Callum Tarren,0,0,40000,NA,0.002493766
Brandon Wu,0,0,40000,NA,0.002493766
Scott Gutschewski,0,0,40000,NA,0.002493766
Kurt Kitayama,0,0,40000,NA,0.002493766
Scott Brown,0,0,40000,NA,0.002493766
Sunghoon Kang,0,0,40000,NA,0.002493766
Seth Reeves,0,0,40000,NA,0.002493766
Robert Garrigus,0,0,40000,NA,0.002493766
Joshua Creel,0,0,40000,NA,0.002493766
Alex Cejka,0,0,40000,NA,0.002493766
Michael Gligic,0,0,40000,NA,0.002493766
Jared Wolfe,0,0,40000,NA,0.002493766
Max McGreevy,0,0,40000,NA,0.002493766
Noh Seung yul,0,0,40000,NA,0.002493766
Brett Drewitt,0,0,40000,NA,0.002493766
Darren Andrew Points,0,0,50000,NA,0.001996008
Martin Trainer,0,0,50000,NA,0.001996008
Richy Werenski,0,0,50000,NA,0.001996008
Ricky Barnes,0,0,50000,NA,0.001996008
Jonas Blixt,0,0,50000,NA,0.001996008
Brad Marek,0,0,50000,NA,0.001996008
Peter Jacobsen,0,0,50000,NA,0.001996008
Grayson Murray,0,0,50000,NA,0.001996008
Tom Lehman,0,0,50000,NA,0.001996008
Mark Baldwin,0,0,50000,NA,0.001996008
Ted Potter Jr.,0,0,50000,NA,0.001996008
Nick Watney,0,0,50000,NA,0.001996008
Ben Crane,0,0,50000,NA,0.001996008
John Merrick,0,0,50000,NA,0.001996008
John Senden,0,0,50000,NA,0.001996008
Davis Love III,0,0,50000,NA,0.001996008
