Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Jonathan Byrd,0,0,30000,NA,0.003322259
Nate Lashley,0,0,30000,NA,0.003322259
Tyler Duncan,0,0,30000,NA,0.003322259
Sam Ryder,0,0,30000,NA,0.003322259
Callum Tarren,0,0,30000,NA,0.003322259
Jared Wolfe,0,0,30000,NA,0.003322259
Joshua Creel,0,0,30000,NA,0.003322259
Brice Garnett,0,0,30000,NA,0.003322259
Lee Hodges,0,0,30000,NA,0.003322259
Trey Mullinax,0,0,30000,NA,0.003322259
Justin Lower,0,0,40000,NA,0.002493766
Peter Malnati,0,0,40000,NA,0.002493766
Brandon Wu,0,0,40000,NA,0.002493766
Kevin Chappell,0,0,40000,NA,0.002493766
Michael Gligic,0,0,40000,NA,0.002493766
Seth Reeves,0,0,40000,NA,0.002493766
Brett Drewitt,0,0,40000,NA,0.002493766
Richy Werenski,0,0,40000,NA,0.002493766
Luke Donald,0,0,40000,NA,0.002493766
David Lipsky,0,0,40000,NA,0.002493766
Camilo Villegas,0,0,40000,NA,0.002493766
Kurt Kitayama,0,0,40000,NA,0.002493766
Brandon Hagy,0,0,40000,NA,0.002493766
Sunghoon Kang,0,0,40000,NA,0.002493766
Scott Gutschewski,0,0,40000,NA,0.002493766
David Skinns,0,0,40000,NA,0.002493766
Martin Trainer,0,0,50000,NA,0.001996008
Kelly Kraft,0,0,50000,NA,0.001996008
Dawie Van Der Walt,0,0,50000,NA,0.001996008
Davis Love III,0,0,50000,NA,0.001996008
John Pak,0,0,50000,NA,0.001996008
Curtis Thompson,0,0,50000,NA,0.001996008
T.J. Vogel,0,0,50000,NA,0.001996008
Noh Seung yul,0,0,50000,NA,0.001996008
Bill Haas,0,0,50000,NA,0.001996008
James Du Preez,0,0,50000,NA,0.001996008
Jonas Blixt,0,0,50000,NA,0.001996008
Jim Herman,0,0,50000,NA,0.001996008
Chris Stroud,0,0,50000,NA,0.001996008
Brian Gay,0,0,50000,NA,0.001996008
Jimmy Walker,0,0,50000,NA,0.001996008
Nick Watney,0,0,50000,NA,0.001996008
Chesson Hadley,0,0,50000,NA,0.001996008
Mark Wilson,0,0,50000,NA,0.001996008
Paul Barjon,0,0,50000,NA,0.001996008
Kyle Mendoza,0,0,50000,NA,0.001996008
